generation,n_eval,obj_min,obj_median,obj_max,best_obj_in_generation
257,180,0.09614264965057373,0.37858983874320984,10.779191970825195,0.09614264965057373
258,180,0.09557706117630005,0.13347002863883972,11.453990936279297,0.09557706117630005
259,180,0.09643286466598511,0.23374608159065247,11.844390869140625,0.09643286466598511
260,180,0.09645342826843262,0.15944698452949524,11.841047286987305,0.09645342826843262
261,180,0.09558570384979248,0.18643391132354736,12.827037811279297,0.09558570384979248
262,180,0.0967361330986023,0.7146673500537872,11.383870124816895,0.0967361330986023
263,180,0.09552979469299316,0.11944085359573364,11.847899436950684,0.09552979469299316
264,180,0.09552878141403198,0.19485187530517578,15.865684509277344,0.09552878141403198
265,180,0.09668129682540894,0.29402902722358704,11.179972648620605,0.09668129682540894
266,180,0.09546536207199097,0.32748353481292725,11.971150398254395,0.09546536207199097
267,180,0.09540510177612305,0.10950395464897156,9.994879722595215,0.09540510177612305
268,180,0.095883309841156,0.15040355920791626,18.399188995361328,0.095883309841156
269,180,0.09596067667007446,0.256273090839386,11.568836212158203,0.09596067667007446
270,180,0.0960189700126648,0.12494766712188721,11.60909652709961,0.0960189700126648
271,180,0.09576106071472168,0.10786929726600647,11.186125755310059,0.09576106071472168
272,180,0.09550869464874268,0.1208808422088623,11.812155723571777,0.09550869464874268
273,180,0.09486764669418335,0.1286448836326599,10.652986526489258,0.09486764669418335
274,180,0.09583568572998047,0.2679579257965088,11.468714714050293,0.09583568572998047
275,180,0.09456062316894531,0.12327131628990173,9.969388008117676,0.09456062316894531
276,180,0.09429389238357544,0.10632061958312988,11.572643280029297,0.09429389238357544
277,180,0.09523916244506836,0.28195446729660034,11.720829963684082,0.09523916244506836
278,180,0.09377706050872803,0.23683738708496094,15.25678539276123,0.09377706050872803
279,180,0.09369558095932007,0.2085248827934265,9.955114364624023,0.09369558095932007
280,180,0.09470957517623901,0.14306104183197021,8.853041648864746,0.09470957517623901
281,180,0.09480005502700806,0.7125242650508881,15.5877685546875,0.09480005502700806
282,180,0.09398913383483887,0.4105357825756073,16.327808380126953,0.09398913383483887
283,180,0.09440958499908447,0.7304666042327881,12.607503890991211,0.09440958499908447
284,180,0.09517502784729004,0.818354457616806,15.366167068481445,0.09517502784729004
285,180,0.0938916802406311,0.1892167329788208,11.69088077545166,0.0938916802406311
286,180,0.09499537944793701,0.12296345829963684,9.999326705932617,0.09499537944793701
287,180,0.09452283382415771,0.14114564657211304,15.790964126586914,0.09452283382415771
